dt,tx
Fri Dec 16 2022 13:23:24 GMT-0400 (Atlantic Standard Time),https://solscan.io/tx/5D1eGhRLAbjbFK7JM1vAQjCS9u6XkErMgJQBMiWwZ1ptMD7RLk5qYHg4uXRwGLkm5v75bD6DSiCUaDHXiN7Dv83L

Fri Dec 16 2022 13:31:38 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/XyLCTWd6NCshH2gQp9Lt5AyikAqxjPL53CZc3JC8AwiLEUrB24pDZYx8t4ZSCzXbVeBNf6TBtQ6z8RBDpjAqfjN
Fri Dec 16 2022 13:32:14 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/2G3pYZxR83E2fRJ6XN17vfpq3qfKFp5sLUBkTb83UnAxkkgDytvnqcHNYnFNrqLSdDsBdhsfK6haCQJ668U573R4
Fri Dec 16 2022 13:33:08 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/5xigBnQNxf9GD9G2ajdSzY3XCogpV7nid3Q1kxQW1kBxNqFqt8tBrGNBDXp5W9d2jg7BA8twwpd8jbXcZKakbT6Z
Fri Dec 16 2022 13:39:05 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/25fr6rus5iVfRb6ETLfdSMPWsfC1nKx7bPMFtR9jrVH4CTTuqanR6VoBavi9TJ76U1KQidMqC4d9yRhfnAvJMUhb
Fri Dec 16 2022 13:41:24 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/53UiWhQdLXwPf1RLJJrkH5YcSKu5Gnb5h83Rq5KSadr1qbHis6BrMoosjdzDfdex3wfTYsDyfY2LxiYkobj5rXhJ
Fri Dec 16 2022 13:42:02 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/2X3MbWstbQSqF5CZHoGxnAZReQe5fsq5MiDhzW4Gm3ZJjxNMudTD8VuJECsk7mKv4o6pa7LUJRUfwuAHGjHqLVhP
Fri Dec 16 2022 13:44:37 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/4SZtzA76QUV7WsjiLDxSpEeZbDfXFTtZCsP4VSKkfppGywu4QEkir72T2bQ1jAbgKDAidSjVTJoYepEC4DzrqSX2
Fri Dec 16 2022 13:44:37 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/4qKG2FnMpGMkyE5QFW1M8oFzh7FLXHdfeBZCcVFztgYBAK6WsDowwkNeDZq7gYrAzmeFX7ssEsRCZk7E9FnEkjzH
Fri Dec 16 2022 13:52:52 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/5eZUJMM7j5btmErXQnExhVo16t5FtkbvMvqsvYFmYeL9UHuZB9VhFzSJQxVY4v9FeWktimhMsA1raFcvPLuH4j2o
Fri Dec 16 2022 13:56:51 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/4GruLfTzLgzg2QPirm2ijKnz9Sy4o33eUYyG7QqHYWRKKK5ob5SitvwLrkK3WR72Wp5oEB6YbB6QViVUFR3kbKw5
Fri Dec 16 2022 13:57:55 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/2PAfbD2M1V1MSstLpb8pCviKS7QKd384QZ2ZSCJzrXCn7uXTWNYGTBVe9RdwdvTRmP1dynm8oMkZ2kvdDEiXk8aX
Fri Dec 16 2022 14:28:40 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/67kEX1GmJo8azQ2yTcvo9QXFHea2WvBoUePYqiq4fKtM3FzfuJ8C4wKg1QC5pqWzeABSgp5ownF9X8Fge2gdUwpu
Fri Dec 16 2022 14:36:04 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/3KvfTVAiJ5ZJDfr23VwqDcHgWCPmKDRzkK94yUu3pUSmb4yKaZZwFszCyATajPP7Z8463SsLvpVZWoW4x8r9S9Cg
Fri Dec 16 2022 14:36:34 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/2h16SX4zeYkJ6sgVhBLgt1hyij4FsPkJv2SKDnJ5XEeeDfct65xUgjsXmARPsx5dZcyS7bSk7w9NvBKNsLDpkjvz
Fri Dec 16 2022 14:37:26 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/1DRa8wBeALLk8iqU9T8Hppsuc857n7pSkZFjcr4QiRXv1ghFhRG7FwG5So9CJ4NXe4HMeBbrhgS11zp9ijsazYz
Fri Dec 16 2022 14:38:00 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/5hsZWURdBTwk8DHssZm672ppB6zZgeFXWxVE7Q8LmRhsyi6hEEyqwfYwsZr2kgixa3ZsLfxT7iQmooth9miJLjoH
Fri Dec 16 2022 14:38:16 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/T1AUwRKZi9tyyWSZ7DuGSEdjzhH7MjXoWHcUbjSJT9Q16YTiDB4JZFDDoksN9M1ijQLevNSrc8r8QpiC526ghyw
Fri Dec 16 2022 14:38:17 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/2km9CB1QPxrgQHb8WzFnv5TaXi6fqZ5qBmTWzzeBv88gi6rnBDo9f9WCpLZY9mRwxc3qpUUhS2jzJRjjVGcgyM2r
Fri Dec 16 2022 14:48:22 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/5jYA892LvYZ4mMmUJAFzPMkxpSZeAKHETsna7Z1GwApDHh8Rw3sq3qUkchpx3ECW3dbc4ijYacg1WmSZDEEwVsXQ
Fri Dec 16 2022 14:55:49 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/2AJBvZ3einz8QrovC4ieRnTj7F6Xg8tiqAobBYcSuLWF4QkEqK7cW1vfpR7d11gBzqEgj1sVX8piWXAfYnd46wF7
Fri Dec 16 2022 14:57:45 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/2mnQDW2eRRRGATbcj7mM5WozBTuFYnJD4XmV8LrYyunnjAKhGdRikjT47YcUBz6bSiWrPKZP48VLcmu3nZQnymVA
Fri Dec 16 2022 15:21:35 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/5mRUtR88S2ny7TAku3tUJMSLGpfwYyHbGhAL1KDA8WCQYhsnPksQA7SepXmWspbFjB8ZQED3gZLi4PCZqUxvPukZ
Fri Dec 16 2022 16:28:08 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/5odPpBk1byE4XDYKCcepgRXhqjYJizj8zaTygHFJHfzXx66tNeFM1NiXwukTbFA2LdbWwnmrVp9Xm997qTVzgkni
Fri Dec 16 2022 16:29:52 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/497XYr19iKVNL4Zw1jGuHPZtLFLeaRCpoiAKtfJZM4M943qN9Wr9VvXo7oHjMwFq7obkhu11YgGxKJyGYUqMBdDu
Fri Dec 16 2022 16:37:15 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/3yU8DYC94e4e5ZsD6bm7xrbtydbcQ2SN4hhxNWkGRM972VgbCLwGoNbcE4YSTYFWCNQqJqAGgnryER7wvkheuoDn
Fri Dec 16 2022 16:42:17 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/48eby4AHwLqhyf4HjvrLnFhMcxC1ryQaKSiDYW7fNZ9Ln1sj1aRCHgGRmSbQLS8xsPTfifTzLAtWj4naePvxbLoF
Fri Dec 16 2022 17:01:46 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/TyJcWruC96M9hZqCFCcyhKHumpoQbsZxDxqb4eSx49GFQZKhN7hAHep4TpXtEptvQcgGZkrvQ5BSqDBR9sorFnG
Fri Dec 16 2022 17:02:22 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/3vCnQzeoAxNRToQz1uBRpANxEfqVTuBytDQ6wDS2DtJzrWitWTbQ9ShgZQGTo4DDAPe6af5SKNiGCe3UxzcYFVFg
Fri Dec 16 2022 19:15:00 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/4qfGLzHy6GWNucgRosTGzdb8ofcgUKAHTFuwkgwyS9uf1ZcAmoe2QngZFURCoJ1aMurczVd9zxg3vb6MtDLmbWLv
Fri Dec 16 2022 19:15:10 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/4SEedNkk2P2Mo5pSTxKHeMnd5NrWptAPQ36wMNqcm7cdsQ7vwJfP4rL7r8aqea37DWMFcfwWPiVPHHtqnadGTicQ
